2017 rank,City,State,2017 estimate,2010 Census,Change,2016 land area Sq Mi,2016 land area Sq Km,2016 population density/sq Mi,2016 population/sq Km,Location,Wikipedia Link,City Website
21,Boston,Massachusetts,"685,094","617,594",+10.93%,483,12512,13938,53812,42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston),https://en.wikipedia.org/wiki/Boston,https://www.boston.gov/
22,El Paso,Texas,"683,577","649,121",+5.31%,2568,66512,2660,10302,31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso),"https://en.wikipedia.org/wiki/El_Paso,_Texas",http://www.elpasotexas.gov
23,Detroit,Michigan,"673,104","713,777",−5.70%,1388,35952,4847,18712,42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit),https://en.wikipedia.org/wiki/Detroit,http://www.detroitmi.gov/
24,Nashville,Tennessee,"667,560","601,222",+11.03%,4759,123262,1388,5362,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville),"https://en.wikipedia.org/wiki/Nashville,_Tennessee",http://www.nashville.gov/
25,Memphis,Tennessee,"652,236","646,889",+0.83%,3174,82212,2056,7942,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis),"https://en.wikipedia.org/wiki/Memphis,_Tennessee",http://www.memphistn.gov
26,Portland,Oregon,"647,805","583,776",+10.97%,1335,34582,4793,18512,45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland),"https://en.wikipedia.org/wiki/Portland,_Oregon",http://www.PortlandOregon.gov/
27,Oklahoma City,Oklahoma,"643,648","579,999",+10.97%,6063,157032,1053,4072,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City),https://en.wikipedia.org/wiki/Oklahoma_City,http://www.okc.gov/
28,Las Vegas,Nevada,"641,676","583,756",+9.92%,1344,34812,4709,18182,36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas),https://en.wikipedia.org/wiki/Las_Vegas,http://lasvegasnevada.gov
29,Louisville,Kentucky,"621,349","597,337",+4.02%,2635,68252,2339,9032,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville),"https://en.wikipedia.org/wiki/Louisville,_Kentucky",http://louisvilleky.gov/
30,Baltimore,Maryland,"611,648","620,961",−1.50%,809,20952,7598,29342,39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore),https://en.wikipedia.org/wiki/Baltimore,http://www.baltimorecity.gov/
