2017 rank,City,State,2017 estimate,2010 Census,Change,2016 land area Sq Mi,2016 land area Sq Km,2016 population density/sq Mi,2016 population/sq Km,Location,Wikipedia Link,City Website
257,Westminster,Colorado,"112,812","106,114",+6.31%,317,8212,3592,13872,39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W﻿ / 39.8822; -105.0644﻿ (Westminster),"https://en.wikipedia.org/wiki/Westminster,_Colorado",http://www.cityofwestminster.us
258,Elgin,Illinois,"112,456","108,188",+3.94%,374,9692,2998,11582,42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W﻿ / 42.0396; -88.3217﻿ (Elgin),"https://en.wikipedia.org/wiki/Elgin,_Illinois",http://cityofelgin.org
259,Antioch,California,"111,674","102,372",+9.09%,294,7612,3772,14562,37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W﻿ / 37.9791; -121.7962﻿ (Antioch),"https://en.wikipedia.org/wiki/Antioch,_California",http://www.ci.antioch.ca.us
260,Palm Bay,Florida,"111,657","103,190",+8.21%,657,17022,1676,6472,27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W﻿ / 27.9856; -80.6626﻿ (Palm Bay),"https://en.wikipedia.org/wiki/Palm_Bay,_Florida",http://www.palmbayflorida.org/
261,High Point,North Carolina,"111,513","104,371",+6.84%,552,14302,2015,7782,35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W﻿ / 35.9900; -79.9905﻿ (High Point),"https://en.wikipedia.org/wiki/High_Point,_North_Carolina",http://www.highpointnc.gov
262,Lowell,Massachusetts,"111,346","106,519",+4.53%,136,3522,8129,31392,42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W﻿ / 42.6390; -71.3211﻿ (Lowell),"https://en.wikipedia.org/wiki/Lowell,_Massachusetts",http://www.lowellma.gov/
263,Manchester,New Hampshire,"111,196","109,565",+1.49%,331,8572,3339,12892,42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W﻿ / 42.9849; -71.4441﻿ (Manchester),"https://en.wikipedia.org/wiki/Manchester,_New_Hampshire",http://www.manchesternh.gov
264,Pueblo,Colorado,"111,127","106,595",+4.25%,536,13882,2058,7952,38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W﻿ / 38.2699; -104.6123﻿ (Pueblo),"https://en.wikipedia.org/wiki/Pueblo,_Colorado",http://www.pueblo.us/
265,Gresham,Oregon,"111,053","105,594",+5.17%,233,6032,4786,18482,45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W﻿ / 45.5023; -122.4416﻿ (Gresham),"https://en.wikipedia.org/wiki/Gresham,_Oregon",http://www.greshamoregon.gov/
266,North Charleston,South Carolina,"110,861","97,471",+13.74%,737,19092,1483,5732,32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W﻿ / 32.9178; -80.0650﻿ (North Charleston),"https://en.wikipedia.org/wiki/North_Charleston,_South_Carolina",http://www.northcharleston.org
267,Ventura,California,"110,790","106,433",+4.09%,218,5652,5027,19412,34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W﻿ / 34.2678; -119.2542﻿ (Ventura),"https://en.wikipedia.org/wiki/Ventura,_California",http://cityofventura.net
268,Inglewood,California,"110,598","109,673",+0.84%,91,2362,12160,47002,33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W﻿ / 33.9561; -118.3443﻿ (Inglewood),"https://en.wikipedia.org/wiki/Inglewood,_California",http://www.cityofinglewood.org
269,Pompano Beach,Florida,"110,473","99,845",+10.64%,240,6222,4558,17602,26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W﻿ / 26.2416; -80.1339﻿ (Pompano Beach),"https://en.wikipedia.org/wiki/Pompano_Beach,_Florida",http://www.pompanobeachfl.gov
270,Centennial,Colorado,"110,250","100,377",+9.84%,295,7642,3727,14392,39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W﻿ / 39.5906; -104.8691﻿ (Centennial),"https://en.wikipedia.org/wiki/Centennial,_Colorado",/wiki/Colorado
271,West Palm Beach,Florida,"110,222","99,919",+10.31%,551,14272,1963,7582,26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W﻿ / 26.7464; -80.1251﻿ (West Palm Beach),"https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida",http://wpb.org/
272,Everett,Washington,"110,079","103,019",+6.85%,333,8622,3275,12642,47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W﻿ / 47.9566; -122.1914﻿ (Everett),"https://en.wikipedia.org/wiki/Everett,_Washington",http://everettwa.gov
273,Richmond,California,"110,040","103,701",+6.11%,301,7802,3648,14092,37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W﻿ / 37.9523; -122.3606﻿ (Richmond),"https://en.wikipedia.org/wiki/Richmond,_California",http://www.ci.richmond.ca.us
274,Clovis,California,"109,691","95,631",+14.70%,242,6272,4404,17002,36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W﻿ / 36.8282; -119.6849﻿ (Clovis),"https://en.wikipedia.org/wiki/Clovis,_California",http://www.ci.clovis.ca.us
275,Billings,Montana,"109,642","104,170",+5.25%,437,11322,2525,9752,45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W﻿ / 45.7885; -108.5499﻿ (Billings),"https://en.wikipedia.org/wiki/Billings,_Montana",http://www.cityofbillings.net/
276,Waterbury,Connecticut,"108,629","110,366",−1.57%,285,7382,3799,14672,41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W﻿ / 41.5585; -73.0367﻿ (Waterbury),"https://en.wikipedia.org/wiki/Waterbury,_Connecticut",http://www.waterburyct.org
277,Broken Arrow,Oklahoma,"108,303","98,850",+9.56%,617,15982,1741,6722,36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W﻿ / 36.0365; -95.7810﻿ (Broken Arrow),"https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma",http://www.brokenarrowok.gov
278,Lakeland,Florida,"108,054","97,422",+10.91%,659,17072,1615,6242,28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W﻿ / 28.0555; -81.9549﻿ (Lakeland),"https://en.wikipedia.org/wiki/Lakeland,_Florida",/wiki/Chongming_County
279,West Covina,California,"107,598","106,098",+1.41%,160,4142,6740,26002,34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W﻿ / 34.0559; -117.9099﻿ (West Covina),"https://en.wikipedia.org/wiki/West_Covina,_California",http://www.westcovina.org
280,Boulder,Colorado,"107,125","97,385",+10.00%,248,6422,4358,16832,40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W﻿ / 40.0270; -105.2519﻿ (Boulder),"https://en.wikipedia.org/wiki/Boulder,_Colorado",http://bouldercolorado.gov
281,Daly City,California,"107,074","101,123",+5.88%,76,1972,14009,54092,37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W﻿ / 37.7009; -122.4650﻿ (Daly City),"https://en.wikipedia.org/wiki/Daly_City,_California",http://www.dalycity.org
282,Santa Maria,California,"107,014","99,553",+7.49%,228,5912,4662,18002,34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W﻿ / 34.9332; -120.4438﻿ (Santa Maria),"https://en.wikipedia.org/wiki/Santa_Maria,_California",http://www.ci.santa-maria.ca.us
283,Hillsboro,Oregon,"106,894","91,611",+16.68%,250,6472,4207,16242,45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W﻿ / 45.5280; -122.9357﻿ (Hillsboro),"https://en.wikipedia.org/wiki/Hillsboro,_Oregon",http://www.hillsboro-oregon.gov/
